28,2,514.54,20
30,2,566.44,25
26,2,1034.1,20
34,2,1138,27
32,2,1132.7,30
26,2,888.21,27
34,2,1150,28
5,1,972.22,4
3,1,672.88,3
6,1,761.9,6
1,1,434.06,1
30,2,913.72,45
30,2,1115.6,50
30,2,542.72,40
28,2,997.05,38
26,2,1247.1,42
5,1,910.27,5
3,1,528.87,3
4,1,660.07,4
30,2,2399.9,20
30,2,964.81,30
30,2,399.14,45
28,2,494.74,38
28,2,1215.2,38
5,1,1501.5,5
4,1,677.98,4
5,1,788.05,5
4,1,580,4
24,2,353.27,25
32,2,929.95,35
28,2,890.27,30
24,2,1193.3,30
30,2,1343.1,32
28,2,1312.4,30
32,2,867.48,25
6,1,896.01,6
2,1,521.54,2
5,1,810.43,5
24,2,1059.8,25
32,2,977.76,25
30,2,896.33,30
28,2,1452.4,20
24,2,635.4,20
3,1,562.4,3
5,1,711.34,5
4,1,675.87,4
4,1,687.76,4
30,2,1246.6,25
32,2,753.49,35
5,1,773.08,5
5,1,888.71,4
1,1,135.85,1
4,1,590.45,4
3,1,462.63,3
26,2,573.9,25
30,2,1147.1,30
24,2,1090.2,30
24,2,1225.8,30
3,1,541.95,3
6,1,980.98,7
6,1,1400.7,6
4,1,529.86,4
24,2,958.12,15
30,2,949.41,25
30,2,483.65,35
30,2,1007.5,30
30,2,1007.3,28
34,2,1661.4,32
3,1,604.35,3
5,1,1250.2,6
5,1,1139.2,5
2,1,549.66,2
4,1,606.05,4
34,2,1382.2,38
32,2,841.86,42
28,2,512.9,40
1,1,402.13,1
3,1,589.27,3
4,1,623.38,4
4,1,536.46,4
3,1,427.14,3
32,2,1000.8,42
4,1,563.95,4
4,1,21.837,4
6,1,263.65,5
3,1,542.86,3
2,1,300.25,2
5,1,851.63,6
32,2,1870.3,25
32,2,816.6,30
32,2,1228.7,35
28,2,1521.7,32
1,1,563.47,1
5,1,1189.6,5
4,1,780.95,4
4,1,421.25,4
26,2,1550.3,28
32,2,962.95,30
34,2,1702.9,40
32,2,1623.3,41
4,1,769.5,4
32,2,1450,20
32,2,796.8,25
26,2,1938,22
5,1,1201.5,5
2,1,566.37,2
3,1,505.69,3
1,1,485.62,1
4,1,950.02,4
5,1,1023.9,5
32,2,2648.4,19
32,2,1389.1,22
34,2,965.56,25
28,2,1076.3,20
32,2,1671.6,22
32,2,1408.9,22
28,2,1570.3,25
4,1,988.03,4
4,1,599.48,4
24,2,1439.3,15
28,2,1328.1,19
32,2,2352.5,18
30,2,1448.4,20
5,1,1261.2,5
3,1,620.68,3
4,1,660.68,4
30,2,1293,20
30,2,903.85,20
34,2,1792.2,30
5,1,902.45,6
3,1,559.02,3
4,1,947.48,4
30,2,1613.3,20
26,2,1386.6,22
32,2,838.5,25
32,2,928.66,20
28,2,1134,19
28,2,858.75,25
6,1,1330.1,6
4,1,573.7,4
1,1,574.15,1
3,1,604.78,3
1,1,519.12,1
4,1,391.52,4
6,1,739.66,6
34,2,1042.7,30
26,2,867.28,35
3,1,585.01,3
4,1,575.46,4
6,1,1717,6
4,1,403.79,4
4,1,800.02,4
4,1,607.78,4
34,2,1590.1,25
24,2,1429.7,20
28,2,1031.4,22
4,1,532.06,4
30,2,1175.4,23
24,2,1102.1,19
1,1,489.39,1
4,1,9472,4
5,1,1124.6,5
6,1,883.02,6
32,2,1317,25
26,2,781.84,25
30,2,1515.9,22
34,2,1482.9,22
6,1,964.58,6
5,1,910.66,5
5,1,993.4,5
30,2,1910,25
24,2,1215.3,22
34,2,1338.5,27
30,2,941.68,30
30,2,2296.2,29
30,2,1376.8,25
1,1,528.91,1
4,1,492.38,4
4,1,661.16,4
3,1,578.41,3
3,1,465.17,3
4,1,624.31,4
30,2,1670.1,20
28,2,1143,20
24,2,1365.7,19
28,2,1303.8,28
26,2,1561.2,25
30,2,1687.7,27
26,2,977.35,22
4,1,631.75,4
2,1,640.36,2
4,1,500.48,4
4,1,517.05,4
4,1,426.62,4
3,1,631.61,3
24,2,1443.4,24
1,1,551.9,1
2,1,616.21,2
30,2,1109.9,20
2,1,700.98,2
